Name,Market Cap,Price,Available Coins,Total Coins,Traded Volume,CHG %
Bitcoin,898.996B,47777.01,18.817M,21.000M,33.243B,1.43%
Ethereum,403.669B,3434.54,117.532M,117.532M,17.435B,0.11%
Cardano,80.105B,2.5,32.038B,45.000B,3.596B,4.42%
Binance Coin,72.546B,431.47,168.137M,168.137M,1.815B,4.13%
Tether,68.293B,1,68.261B,71.336B,71.962B,-0.01%
HEX,67.229B,0.39,173.411B,633.543B,34.643M,0.71%
XRP,51.292B,1.1,46.622B,100.000B,3.033B,0.36%
Solana,46.706B,157.42,296.694M,504.096M,6.418B,-0.60%
Polkadot,35.645B,36.09,987.579M,1.103B,3.208B,-3.37%
Dogecoin,31.997B,0.24,131.297B,131.297B,934.446M,1.32%
USD Coin,29.276B,1,29.273B,29.273B,2.341B,0.01%
Uniswap,15.734B,25.72,611.644M,1.000B,681.652M,0.22%
Terra,14.537B,36.15,402.117M,993.284M,1.151B,1.47%
ChainLink,14.034B,31.05,452.010M,1.000B,2.461B,0.77%
Litecoin,12.195B,182.69,66.753M,84.000M,3.278B,-0.07%
Bitcoin Cash,12.069B,640.41,18.846M,21.000M,5.514B,0.00%
Avalanche,11.623B,52.76,220.287M,720.000M,1.143B,2.54%
Algorand,10.638B,2.03,5.236B,10.000B,975.729M,-0.26%
Wrapped Bitcoin,9.837B,47784.37,205.871K,205.871K,258.391M,1.47%
Internet Computer,9.555B,58.68,162.821M,469.214M,329.393M,3.19%
Filecoin,9.177B,85.96,106.758M,106.758M,1.474B,6.42%
Polygon,9.021B,1.36,6.652B,10.000B,883.999M,2.96%
FTX Token,8.670B,71.79,120.775M,352.170M,665.597M,6.13%
TRON,8.561B,0.12,71.660B,100.851B,2.532B,0.71%
Stellar,7.976B,0.34,23.694B,50.002B,548.891M,1.68%
VeChain,7.745B,0.12,64.316B,86.713B,414.222M,2.75%
Ethereum Classic,7.552B,58.21,129.746M,210.700M,904.381M,2.02%
Cosmos,7.382B,33.34,221.403M,279.188M,1.749B,-2.95%
Theta Token,6.977B,6.98,1.000B,1.000B,427.848M,8.31%
Dai,6.543B,1,6.542B,6.542B,338.108M,-0.03%
Tezos,6.186B,7.2,859.580M,889.054M,1.253B,1.28%
Hedera Hashgraph,5.184B,0.54,9.633B,50.000B,1.386B,17.98%
Elrond,5.165B,265.61,19.444M,31.416M,431.753M,-5.32%
Aave,5.004B,379.71,13.177M,16.000M,924.874M,-1.23%
PancakeSwap,4.942B,22.34,221.227M,221.227M,406.796M,7.25%
Monero,4.893B,271.91,17.993M,17.993M,240.333M,1.24%
EOS,4.693B,4.9,958.123M,1.034B,1.285B,0.83%
IOTA,4.586B,1.65,2.780B,2.780B,172.927M,5.68%
eCash,4.535B,0,18843.542B,21000.000B,425.303M,-4.99%
Quant,4.440B,367.8,12.073M,14.612M,143.598M,0.22%
Axie Infinity,4.200B,68.95,60.907M,270.000M,274.007M,3.38%
The Graph,4.194B,0.89,4.716B,10.057B,133.554M,3.57%
NEAR Protocol,4.140B,8.99,460.573M,1.000B,354.815M,4.79%
Bitcoin BEP2,4.066B,47770.25,85.118K,92.501K,34.747M,1.52%
Fantom,3.677B,1.44,2.545B,3.175B,925.685M,20.29%
NEO,3.671B,52.04,70.539M,100.000M,427.248M,0.59%
Kusama,3.482B,411.08,8.470M,9.651M,231.443M,-1.63%
Klaytn,3.348B,1.34,2.505B,10.672B,91.186M,-4.48%
Waves,3.222B,30.35,106.174M,106.174M,114.226M,1.94%
UNUS SED LEO,3.015B,3.16,953.954M,985.240M,2.500M,3.30%
Bitcoin SV,2.948B,156.44,18.843M,21.000M,310.528M,1.64%
Maker,2.904B,2929,991.328K,1.006M,145.686M,3.69%
"S 
SHIBA INU",2.830B,0,394796.000B,1000000.000B,194.001M,1.51%
BitTorrent,2.707B,0,659.953B,990.000B,419.287M,0.10%
TerraUSD,2.581B,1,2.580B,2.580B,198.916M,-0.01%
Huobi Token,2.376B,14.54,163.409M,500.000M,129.486M,-0.10%
Compound,2.329B,422.92,5.506M,10.000M,330.827M,-5.43%
Creditcoin,2.206B,3.9,564.971M,2.000B,5.360M,-0.41%
Amp,2.189B,0.05,42.228B,92.548B,23.033M,3.27%
Dash,2.132B,206.39,10.332M,18.900M,266.641M,0.82%
THORChain,2.094B,9.33,224.410M,500.000M,88.236M,0.69%
Chiliz,2.007B,0.34,5.898B,8.889B,237.452M,1.09%
